assignment_id,assignment_uuid,assignment_name,teacher_id,class_name,numStudentTotal,numStudentAttempted,levelCode,student_id,conv_id,overall_summary,Planning,Monitoring,Reflection,subject,planning_level,monitoring_level,reflection_level
10907593,eb224f5a-7b67-4f2f-8915-677edf0a0af7,[HBL 15 May] Electromagnetic Induction Trigger Activity with Learning Assistant (LEA) ,28978,3225844,19,19,Secondary 4,439141,496029.0,"The student asks a direct question about electromagnetic induction but does not demonstrate metacognitive behaviors. The conversation is too brief to show planning, monitoring, or reflection on their own understanding.",0,0,0,PHYSICS,Not Observed,Not Observed,Not Observed
10907593,eb224f5a-7b67-4f2f-8915-677edf0a0af7,[HBL 15 May] Electromagnetic Induction Trigger Activity with Learning Assistant (LEA) ,28978,3225844,19,19,Secondary 4,453894,497068.0,"The student demonstrates a focused approach to learning about electromagnetic induction by asking specific, targeted questions about generators and slip rings. However, they do not engage with the initial prompt or show explicit monitoring of their understanding throughout the conversation.",1,0,0,PHYSICS,Emerging,Emerging,Emerging
10907593,eb224f5a-7b67-4f2f-8915-677edf0a0af7,[HBL 15 May] Electromagnetic Induction Trigger Activity with Learning Assistant (LEA) ,28978,3225844,19,19,Secondary 4,537539,494266.0,"The student engages with the topic by asking for clarification about a specific aspect of electromagnetic induction. However, the conversation is very brief and shows limited metacognitive engagement beyond seeking basic explanation.",0,1,0,PHYSICS,Not Observed,Not Observed,Not Observed
10907593,eb224f5a-7b67-4f2f-8915-677edf0a0af7,[HBL 15 May] Electromagnetic Induction Trigger Activity with Learning Assistant (LEA) ,28978,3225844,19,19,Secondary 4,477034,496316.0,The student asks direct questions about electromagnetic induction but does not demonstrate metacognitive behaviors. They seek information about why a bulb lights up and what happens to voltmeter readings without reflecting on their own understanding or planning their learning approach.,0,0,0,PHYSICS,Not Observed,Not Observed,Not Observed
10907593,eb224f5a-7b67-4f2f-8915-677edf0a0af7,[HBL 15 May] Electromagnetic Induction Trigger Activity with Learning Assistant (LEA) ,28978,3225844,19,19,Secondary 4,834587,494487.0,The student demonstrates strong foundational knowledge of electromagnetic induction but primarily engages in a question-asking pattern rather than deep reflection. They show curiosity by asking follow-up questions but do not explicitly monitor their understanding or reflect on their learning process.,0,0,0,PHYSICS,Not Observed,Not Observed,Not Observed
10907593,eb224f5a-7b67-4f2f-8915-677edf0a0af7,[HBL 15 May] Electromagnetic Induction Trigger Activity with Learning Assistant (LEA) ,28978,3225844,19,19,Secondary 4,443497,495590.0,"The student asked a direct question about how generators maintain steady electricity flow but did not engage with the initial prompt or demonstrate any metacognitive processes. The conversation was too brief to observe planning, monitoring, or reflection behaviors.",0,0,0,PHYSICS,Not Observed,Not Observed,Not Observed
10907593,eb224f5a-7b67-4f2f-8915-677edf0a0af7,[HBL 15 May] Electromagnetic Induction Trigger Activity with Learning Assistant (LEA) ,28978,3225844,19,19,Secondary 4,72253,497191.0,"The student engages in a straightforward question-and-answer session about electromagnetic induction, asking for explanations of key concepts and requesting practice questions. They do not demonstrate planning, monitoring of their understanding, or reflection on the content.",0,0,0,PHYSICS,Not Observed,Not Observed,Not Observed
10907593,eb224f5a-7b67-4f2f-8915-677edf0a0af7,[HBL 15 May] Electromagnetic Induction Trigger Activity with Learning Assistant (LEA) ,28978,3225844,19,19,Secondary 4,452219,497097.0,"The student demonstrates a systematic approach to learning about electromagnetic induction by asking a series of progressively deeper questions. They show curiosity about related concepts and make connections between different aspects of the topic, though they don't explicitly reflect on their understanding or learning process.",1,0,0,PHYSICS,Emerging,Emerging,Emerging
10907593,eb224f5a-7b67-4f2f-8915-677edf0a0af7,[HBL 15 May] Electromagnetic Induction Trigger Activity with Learning Assistant (LEA) ,28978,3225844,19,19,Secondary 4,43931,496051.0,"The student demonstrates a systematic approach to learning about electromagnetic induction by asking sequential, increasingly specific questions. They build their understanding progressively from general generator operation to specific components and comparisons between AC and DC systems.",2,0,0,PHYSICS,Proficient,Proficient,Proficient
10907593,eb224f5a-7b67-4f2f-8915-677edf0a0af7,[HBL 15 May] Electromagnetic Induction Trigger Activity with Learning Assistant (LEA) ,28978,3225844,19,19,Secondary 4,462376,495063.0,"The student engaged in a very brief conversation about electromagnetic induction, asking a direct question about why a bulb lights up when a magnet is pushed into a coil. The conversation was too short to demonstrate metacognitive behaviors.",0,0,0,PHYSICS,Not Observed,Not Observed,Not Observed
10907593,eb224f5a-7b67-4f2f-8915-677edf0a0af7,[HBL 15 May] Electromagnetic Induction Trigger Activity with Learning Assistant (LEA) ,28978,3225844,19,19,Secondary 4,838361,494521.0,"The student asks a direct question about electromagnetic induction but does not demonstrate metacognitive behaviors. They request an explanation without showing evidence of planning their approach, monitoring their understanding, or reflecting on the content provided.",0,0,0,PHYSICS,Not Observed,Not Observed,Not Observed
10907593,eb224f5a-7b67-4f2f-8915-677edf0a0af7,[HBL 15 May] Electromagnetic Induction Trigger Activity with Learning Assistant (LEA) ,28978,3225844,19,19,Secondary 4,944007,497747.0,"The student engages with electromagnetic induction concepts by asking focused questions about the mechanism and practical improvements. They demonstrate curiosity about both the underlying principles and real-world applications, though their responses are brief and question-focused rather than reflective.",0,1,0,PHYSICS,Not Observed,Not Observed,Not Observed
10907593,eb224f5a-7b67-4f2f-8915-677edf0a0af7,[HBL 15 May] Electromagnetic Induction Trigger Activity with Learning Assistant (LEA) ,28978,3225844,19,19,Secondary 4,458557,493962.0,"The student asks a direct question about electromagnetic induction but does not engage in visible metacognitive processes. The conversation is too brief to observe planning, monitoring, or reflection behaviors.",0,0,0,PHYSICS,Not Observed,Not Observed,Not Observed
10907593,eb224f5a-7b67-4f2f-8915-677edf0a0af7,[HBL 15 May] Electromagnetic Induction Trigger Activity with Learning Assistant (LEA) ,28978,3225844,19,19,Secondary 4,476240,496042.0,"The student demonstrates curiosity about electromagnetic induction by asking follow-up questions about Lenz's Law and Faraday's Law. However, they do not engage in explicit planning, monitoring of their understanding, or reflection on the concepts presented.",0,0,0,PHYSICS,Not Observed,Not Observed,Not Observed
10907593,eb224f5a-7b67-4f2f-8915-677edf0a0af7,[HBL 15 May] Electromagnetic Induction Trigger Activity with Learning Assistant (LEA) ,28978,3225844,19,19,Secondary 4,438897,495769.0,"The student demonstrates systematic inquiry by asking focused questions about electromagnetic induction concepts. They monitor their understanding by explicitly stating confusion and seeking clarification, then build on explanations to explore related concepts like material properties and magnetic flux.",0,2,2,PHYSICS,Not Observed,Not Observed,Not Observed
10907593,eb224f5a-7b67-4f2f-8915-677edf0a0af7,[HBL 15 May] Electromagnetic Induction Trigger Activity with Learning Assistant (LEA) ,28978,3225844,19,19,Secondary 4,451905,497198.0,"The student asks focused questions about electromagnetic induction concepts but does not demonstrate planning, monitoring of their understanding, or reflection on their learning process. Their responses are purely information-seeking without metacognitive awareness.",0,0,0,PHYSICS,Not Observed,Not Observed,Not Observed
10907593,eb224f5a-7b67-4f2f-8915-677edf0a0af7,[HBL 15 May] Electromagnetic Induction Trigger Activity with Learning Assistant (LEA) ,28978,3225844,19,19,Secondary 4,460465,495751.0,The student asks direct questions about electromagnetic induction concepts but does not demonstrate metacognitive awareness of their own learning process. They focus on acquiring information rather than reflecting on their understanding or planning their approach.,0,0,0,PHYSICS,Not Observed,Not Observed,Not Observed
10907593,eb224f5a-7b67-4f2f-8915-677edf0a0af7,[HBL 15 May] Electromagnetic Induction Trigger Activity with Learning Assistant (LEA) ,28978,3225844,19,19,Secondary 4,41996,495584.0,"The student asks specific questions about electromagnetic induction phenomena but does not demonstrate planning, monitoring of their understanding, or reflection on the concepts discussed.",0,0,0,PHYSICS,Not Observed,Not Observed,Not Observed
10907593,eb224f5a-7b67-4f2f-8915-677edf0a0af7,[HBL 15 May] Electromagnetic Induction Trigger Activity with Learning Assistant (LEA) ,28978,3225844,19,19,Secondary 4,946884,495016.0,"The student demonstrates a systematic approach to learning about electromagnetic induction by asking progressively deeper questions. They move from basic generator function to comparative analysis with motors, then to optimization strategies, showing emerging metacognitive awareness through their question sequencing.",1,0,0,PHYSICS,Emerging,Emerging,Emerging
9583723,3a20da90-64b7-4184-b90d-312910b94f9a,Electromagnetic Induction,31492,2880752,26,25,Secondary 4,402165,18774.0,The student demonstrates basic curiosity about electromagnetic induction concepts but shows limited metacognitive engagement. They ask sequential questions without building on previous responses or reflecting on their understanding.,0,0,0,PHYSICS,Not Observed,Not Observed,Not Observed
9583723,3a20da90-64b7-4184-b90d-312910b94f9a,Electromagnetic Induction,31492,2880752,26,25,Secondary 4,402000,18767.0,"The student engaged minimally with the topic, asking a direct question for explanation rather than exploring their own understanding or demonstrating metacognitive thinking processes.",0,0,0,PHYSICS,Not Observed,Not Observed,Not Observed
9583723,3a20da90-64b7-4184-b90d-312910b94f9a,Electromagnetic Induction,31492,2880752,26,25,Secondary 4,404361,18762.0,"The student engages in a question-driven exploration of electromagnetic induction, asking sequential questions about different aspects of the phenomenon. They demonstrate curiosity about the underlying mechanisms and laws but do not show evidence of planning their approach, monitoring their understanding, or reflecting on their learning process.",0,0,0,PHYSICS,Not Observed,Not Observed,Not Observed
9583723,3a20da90-64b7-4184-b90d-312910b94f9a,Electromagnetic Induction,31492,2880752,26,25,Secondary 4,525897,18763.0,"The student demonstrates a systematic approach to learning about electromagnetic induction by asking sequential, focused questions that build upon each other. They progress logically from voltage generation to the role of coils, then to Faraday's Law, and finally to practical applications in generators, showing strategic information-seeking behavior.",2,0,0,PHYSICS,Proficient,Proficient,Proficient
9583723,3a20da90-64b7-4184-b90d-312910b94f9a,Electromagnetic Induction,31492,2880752,26,25,Secondary 4,835916,18765.0,"The student asks a series of direct questions about electromagnetic induction concepts but does not demonstrate planning, monitoring of their understanding, or reflection on the content. Their approach is purely question-driven without showing metacognitive awareness.",0,0,0,PHYSICS,Not Observed,Not Observed,Not Observed
9583723,3a20da90-64b7-4184-b90d-312910b94f9a,Electromagnetic Induction,31492,2880752,26,25,Secondary 4,423711,18769.0,"The student engaged in a very brief conversation about electromagnetic induction, asking a direct factual question about Faraday's law without demonstrating metacognitive thinking processes.",0,0,0,PHYSICS,Not Observed,Not Observed,Not Observed
9583723,3a20da90-64b7-4184-b90d-312910b94f9a,Electromagnetic Induction,31492,2880752,26,25,Secondary 4,402819,18775.0,"The student demonstrates a systematic approach to understanding electromagnetic induction by asking sequential, focused questions that build upon each other. They progress from basic voltage changes to directional effects and finally to deeper theoretical concepts like Lenz's Law.",2,2,0,PHYSICS,Proficient,Proficient,Proficient
9583723,3a20da90-64b7-4184-b90d-312910b94f9a,Electromagnetic Induction,31492,2880752,26,25,Secondary 4,410101,18766.0,"The student asks a series of clarifying questions about electromagnetic induction, progressing from asking about magnet direction effects to deeper questions about Faraday's Law and the fundamental mechanism of current creation. However, they do not demonstrate explicit planning, monitoring of their understanding, or reflection on their learning process.",0,0,0,PHYSICS,Not Observed,Not Observed,Not Observed
9583723,3a20da90-64b7-4184-b90d-312910b94f9a,Electromagnetic Induction,31492,2880752,26,25,Secondary 4,409517,18776.0,"The student demonstrates emerging planning behavior by generating multiple related questions about electromagnetic induction. However, they do not show evidence of monitoring their understanding or reflecting on the concepts presented.",1,0,0,PHYSICS,Emerging,Emerging,Emerging
9583723,3a20da90-64b7-4184-b90d-312910b94f9a,Electromagnetic Induction,31492,2880752,26,25,Secondary 4,415965,18788.0,"The student immediately asks for an explanation without engaging with the initial question or demonstrating any planning, monitoring, or reflection about their understanding of electromagnetic induction.",0,0,0,PHYSICS,Not Observed,Not Observed,Not Observed
9583723,3a20da90-64b7-4184-b90d-312910b94f9a,Electromagnetic Induction,31492,2880752,26,25,Secondary 4,430295,18757.0,"The student asks basic factual questions about electromagnetic induction without demonstrating planning, self-monitoring, or reflection on their understanding. Their responses are purely question-driven without showing awareness of their learning process.",0,0,0,PHYSICS,Not Observed,Not Observed,Not Observed
